province,weight,gender,abortion,importance,education,location
PE,870.62,Female,No,very,higher,rural
PE,1305.93,Female,No,very,lessHS,rural
PE,870.62,Female,No,not,HS,urban
PE,435.31,Male,No,notvery,lessHS,rural
PE,870.62,Female,No,notvery,HS,urban
PE,435.31,Female,No,very,HS,rural
PE,870.62,Male,No,notvery,HS,urban
PE,870.62,Female,No,somewhat,higher,urban
PE,870.62,Female,Yes,very,college,rural
PE,1305.93,Female,Yes,very,HS,rural
PE,870.62,Male,No,somewhat,lessHS,rural
PE,435.31,Female,No,somewhat,college,urban
PE,870.62,Male,No,very,college,rural
PE,1305.93,Female,Yes,somewhat,college,rural
PE,870.62,Female,Yes,very,bachelors,urban
PE,870.62,Female,No,very,bachelors,urban
PE,870.62,Male,Yes,very,lessHS,urban
PE,870.62,Female,No,somewhat,bachelors,urban
PE,1741.23,Male,No,notvery,higher,urban
PE,870.62,Female,Yes,very,HS,urban
PE,870.62,Female,Yes,very,HS,rural
PE,1741.23,Male,Yes,very,HS,rural
PE,435.31,Female,Yes,very,college,rural
PE,1305.93,Male,No,somewhat,college,urban
PE,435.31,Female,No,very,HS,urban
PE,870.62,Male,No,somewhat,HS,rural
PE,435.31,Female,No,somewhat,college,rural
PE,870.62,Male,No,very,lessHS,rural
PE,870.62,Female,No,somewhat,bachelors,rural
PE,870.62,Male,Yes,not,somePS,urban
PE,870.62,Female,No,very,somePS,rural
PE,1305.93,Female,No,very,bachelors,urban
PE,1741.23,Male,No,very,lessHS,rural
PE,1305.93,Female,No,very,bachelors,urban
NS,3199.76,Female,No,somewhat,somePS,urban
NS,3199.76,Male,Yes,very,HS,rural
NS,6399.52,Female,No,somewhat,bachelors,rural
NS,9599.28,Female,Yes,very,HS,rural
NS,6399.52,Male,No,not,HS,rural
NS,6399.52,Male,No,somewhat,bachelors,urban
NS,6399.52,Female,No,somewhat,somePS,rural
NS,6399.52,Male,Yes,very,lessHS,urban
NS,6399.52,Male,No,very,bachelors,urban
NS,6399.52,Male,Yes,very,HS,rural
NS,6399.52,Female,No,somewhat,bachelors,urban
NS,3199.76,Female,Yes,very,HS,rural
NS,6399.52,Female,No,somewhat,bachelors,urban
NS,3199.76,Male,No,not,lessHS,rural
NS,6399.52,Male,No,not,HS,urban
NS,3199.76,Male,Yes,very,HS,rural
NS,6399.52,Male,No,very,HS,rural
NS,3199.76,Male,Yes,very,HS,urban
NS,3199.76,Female,No,notvery,HS,urban
NS,3199.76,Male,Yes,very,lessHS,urban
NS,6399.52,Female,Yes,very,lessHS,rural
NS,6399.52,Female,No,somewhat,HS,rural
NS,6399.52,Male,Yes,somewhat,lessHS,rural
NS,6399.52,Male,No,notvery,bachelors,urban
NS,6399.52,Female,No,somewhat,college,rural
NS,6399.52,Male,No,somewhat,HS,urban
NS,6399.52,Female,No,very,higher,rural
NS,6399.52,Female,No,somewhat,higher,rural
NS,3199.76,Female,No,somewhat,lessHS,urban
NS,6399.52,Female,No,very,bachelors,urban
NS,3199.76,Female,No,somewhat,lessHS,urban
NS,6399.52,Female,No,somewhat,higher,rural
NS,12799.04,Male,Yes,somewhat,college,rural
NS,9599.28,Female,Yes,somewhat,lessHS,rural
NS,3199.76,Male,No,somewhat,somePS,rural
NS,3199.76,Male,No,somewhat,college,rural
NS,6399.52,Female,No,somewhat,HS,urban
NS,6399.52,Female,Yes,very,higher,rural
NS,6399.52,Female,No,somewhat,higher,urban
NS,9599.28,Male,Yes,somewhat,HS,urban
NS,3199.76,Female,Yes,somewhat,lessHS,rural
NS,6399.52,Male,No,not,somePS,rural
NS,6399.52,Male,No,not,college,urban
NS,3199.76,Female,Yes,very,bachelors,urban
NS,6399.52,Female,No,somewhat,higher,rural
NS,6399.52,Male,No,somewhat,somePS,urban
NS,3199.76,Male,Yes,very,bachelors,urban
NS,9599.28,Female,No,notvery,HS,rural
NS,6399.52,Female,Yes,very,bachelors,urban
NS,6399.52,Female,No,very,lessHS,rural
NS,6399.52,Female,No,not,HS,rural
NS,6399.52,Female,No,not,HS,urban
NS,6399.52,Male,No,very,college,urban
NS,3199.76,Female,No,notvery,college,rural
NS,9599.28,Female,No,not,bachelors,rural
NS,6399.52,Male,No,very,HS,rural
NS,9599.28,Male,No,somewhat,HS,urban
NS,9599.28,Female,No,notvery,HS,urban
NS,3199.76,Female,Yes,very,lessHS,urban
NS,9599.28,Female,No,very,higher,urban
NS,6399.52,Male,No,very,lessHS,rural
NS,3199.76,Female,No,somewhat,somePS,rural
NS,6399.52,Female,No,somewhat,lessHS,rural
NS,6399.52,Female,Yes,not,HS,rural
NS,6399.52,Female,No,very,somePS,rural
NS,12799.04,Female,Yes,notvery,HS,urban
NS,9599.28,Female,No,somewhat,HS,urban
NB,4958.51,Male,No,not,HS,urban
NB,2479.26,Male,Yes,notvery,somePS,urban
NB,4958.51,Female,No,somewhat,college,rural
NB,4958.51,Female,No,very,college,urban
NB,4958.51,Female,No,very,higher,rural
NB,4958.51,Male,No,notvery,college,urban
NB,7437.77,Male,Yes,very,bachelors,rural
NB,4958.51,Male,Yes,very,college,rural
NB,4958.51,Female,Yes,very,HS,urban
NB,2479.26,Female,No,very,lessHS,rural
NB,4958.51,Female,Yes,very,lessHS,rural
NB,4958.51,Female,No,somewhat,higher,urban
NB,2479.26,Male,No,somewhat,college,rural
NB,7437.77,Female,Yes,very,college,rural
NB,7437.77,Female,No,very,HS,rural
NB,4958.51,Male,No,somewhat,somePS,urban
NB,2479.26,Female,Yes,very,college,rural
NB,4958.51,Male,Yes,very,bachelors,urban
NB,2479.26,Female,No,notvery,somePS,rural
NB,4958.51,Female,No,very,college,rural
NB,4958.51,Female,No,not,college,urban
NB,4958.51,Female,No,very,higher,rural
NB,4958.51,Female,Yes,very,lessHS,rural
NB,2479.26,Male,Yes,not,college,urban
NB,4958.51,Female,Yes,somewhat,HS,rural
NB,4958.51,Female,No,somewhat,HS,urban
NB,7437.77,Male,Yes,somewhat,lessHS,urban
NB,2479.26,Male,Yes,very,somePS,rural
NB,4958.51,Female,Yes,very,lessHS,rural
NB,4958.51,Male,No,somewhat,higher,urban
NB,4958.51,Male,No,very,higher,urban
NB,2479.26,Female,Yes,very,bachelors,urban
NB,7437.77,Male,No,not,somePS,urban
NB,4958.51,Male,Yes,very,HS,rural
NB,2479.26,Female,Yes,somewhat,HS,urban
NB,4958.51,Female,Yes,very,HS,urban
NB,2479.26,Male,Yes,very,college,rural
NB,4958.51,Female,Yes,very,lessHS,rural
NB,4958.51,Female,No,somewhat,lessHS,urban
NB,2479.26,Male,No,somewhat,HS,urban
NB,4958.51,Female,No,somewhat,college,urban
NB,2479.26,Female,No,somewhat,HS,urban
NB,4958.51,Male,No,not,bachelors,rural
NB,4958.51,Male,Yes,very,somePS,urban
NB,7437.77,Female,No,somewhat,college,rural
NB,4958.51,Female,No,somewhat,bachelors,rural
NB,4958.51,Female,Yes,somewhat,bachelors,urban
NB,4958.51,Female,Yes,very,HS,rural
NB,4958.51,Male,Yes,very,bachelors,urban
NB,7437.77,Female,No,very,bachelors,rural
NB,2479.26,Female,No,very,HS,rural
NB,4958.51,Female,No,very,bachelors,urban
NB,4958.51,Male,No,very,lessHS,urban
NB,2479.26,Female,No,notvery,somePS,urban
NB,4958.51,Female,No,somewhat,higher,urban
NB,4958.51,Female,No,somewhat,higher,rural
NB,4958.51,Female,No,somewhat,bachelors,urban
NB,4958.51,Female,No,somewhat,HS,urban
NB,4958.51,Male,Yes,somewhat,lessHS,rural
NB,4958.51,Female,No,very,HS,rural
NB,4958.51,Female,Yes,very,HS,rural
NB,4958.51,Female,No,not,HS,rural
NB,4958.51,Male,No,not,college,urban
NB,4958.51,Female,No,very,bachelors,urban
NB,4958.51,Female,No,not,college,rural
QC,6153.85,Female,No,not,higher,urban
QC,3076.93,Male,No,not,higher,urban
QC,6153.85,Male,No,very,bachelors,urban
QC,3076.93,Female,No,very,college,urban
QC,6153.85,Male,No,notvery,somePS,urban
QC,6153.85,Male,No,notvery,somePS,urban
QC,3076.93,Male,No,notvery,college,urban
QC,3076.93,Female,No,somewhat,higher,urban
QC,6153.85,Female,No,very,college,urban
QC,6153.85,Male,Yes,somewhat,bachelors,urban
QC,9230.78,Female,No,somewhat,higher,urban
QC,6153.85,Female,No,very,college,urban
QC,6153.85,Male,No,not,lessHS,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,6153.85,Male,Yes,very,HS,urban
QC,6153.85,Male,No,somewhat,higher,urban
QC,6153.85,Female,No,very,lessHS,urban
QC,3076.93,Male,Yes,somewhat,somePS,urban
QC,6153.85,Male,No,somewhat,bachelors,urban
QC,6153.85,Male,Yes,not,college,rural
QC,6153.85,Male,No,notvery,bachelors,urban
QC,6153.85,Male,No,very,HS,urban
QC,6153.85,Female,No,somewhat,college,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,3076.93,Female,No,not,college,urban
QC,3076.93,Female,Yes,somewhat,bachelors,urban
QC,9230.78,Male,No,not,HS,urban
QC,6153.85,Female,No,somewhat,college,urban
QC,3076.93,Female,No,notvery,HS,urban
QC,3076.93,Male,No,notvery,higher,urban
QC,12307.71,Female,No,somewhat,somePS,urban
QC,3076.93,Male,No,notvery,HS,urban
QC,6153.85,Female,Yes,very,HS,urban
QC,6153.85,Male,No,not,higher,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,6153.85,Male,No,notvery,higher,urban
QC,3076.93,Female,No,somewhat,higher,urban
QC,9230.78,Male,No,very,HS,urban
QC,3076.93,Male,No,somewhat,higher,urban
QC,6153.85,Female,No,notvery,college,urban
QC,3076.93,Female,No,not,HS,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,12307.71,Male,No,somewhat,college,urban
QC,9230.78,Female,No,notvery,college,urban
QC,9230.78,Male,No,not,HS,urban
QC,3076.93,Female,No,not,higher,urban
QC,3076.93,Female,No,somewhat,lessHS,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,6153.85,Female,No,notvery,college,urban
QC,3076.93,Male,No,not,college,urban
QC,12307.71,Female,Yes,very,bachelors,urban
QC,6153.85,Male,No,not,higher,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,3076.93,Female,No,notvery,bachelors,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,notvery,bachelors,urban
QC,6153.85,Male,No,notvery,college,urban
QC,6153.85,Female,No,notvery,HS,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Male,No,somewhat,bachelors,urban
QC,6153.85,Male,No,not,college,urban
QC,3076.93,Male,No,not,higher,urban
QC,3076.93,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,No,notvery,HS,urban
QC,9230.78,Male,No,somewhat,college,urban
QC,6153.85,Male,No,very,lessHS,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,3076.93,Male,No,not,bachelors,urban
QC,6153.85,Male,No,not,HS,urban
QC,3076.93,Female,No,notvery,lessHS,urban
QC,6153.85,Female,No,somewhat,college,urban
QC,6153.85,Male,No,somewhat,HS,rural
QC,6153.85,Female,No,not,bachelors,urban
QC,6153.85,Female,No,notvery,higher,urban
QC,12307.71,Male,No,somewhat,somePS,urban
QC,3076.93,Male,No,very,bachelors,urban
QC,3076.93,Female,No,not,HS,urban
QC,6153.85,Female,No,very,lessHS,urban
QC,3076.93,Female,No,not,bachelors,urban
QC,6153.85,Male,No,somewhat,HS,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,9230.78,Female,No,very,lessHS,urban
QC,3076.93,Female,No,notvery,college,urban
QC,3076.93,Male,No,not,HS,urban
QC,6153.85,Female,No,very,lessHS,urban
QC,9230.78,Male,No,notvery,lessHS,urban
QC,3076.93,Male,No,not,HS,urban
QC,6153.85,Female,No,somewhat,lessHS,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,somewhat,higher,urban
QC,9230.78,Male,No,notvery,college,rural
QC,9230.78,Female,No,very,college,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,not,bachelors,urban
QC,6153.85,Female,No,very,bachelors,urban
QC,3076.93,Female,No,not,bachelors,urban
QC,9230.78,Male,No,somewhat,HS,urban
QC,3076.93,Male,No,notvery,bachelors,urban
QC,3076.93,Male,No,very,HS,urban
QC,9230.78,Male,No,notvery,somePS,urban
QC,3076.93,Female,No,notvery,higher,urban
QC,6153.85,Male,No,somewhat,higher,urban
QC,3076.93,Male,No,somewhat,lessHS,urban
QC,6153.85,Female,No,not,college,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,No,not,college,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,6153.85,Male,No,not,lessHS,rural
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Female,No,somewhat,college,urban
QC,3076.93,Female,No,notvery,somePS,urban
QC,3076.93,Female,No,very,lessHS,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,9230.78,Female,No,not,HS,urban
QC,3076.93,Female,No,notvery,bachelors,urban
QC,3076.93,Female,No,not,college,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,6153.85,Male,No,not,college,urban
QC,3076.93,Male,No,very,lessHS,urban
QC,6153.85,Female,No,notvery,college,rural
QC,3076.93,Male,Yes,somewhat,college,urban
QC,9230.78,Male,No,notvery,higher,urban
QC,6153.85,Male,Yes,somewhat,HS,urban
QC,3076.93,Male,No,not,bachelors,urban
QC,3076.93,Male,No,somewhat,HS,urban
QC,6153.85,Male,No,not,higher,urban
QC,3076.93,Male,No,not,lessHS,urban
QC,9230.78,Female,No,somewhat,somePS,urban
QC,9230.78,Female,No,not,bachelors,urban
QC,6153.85,Male,No,notvery,higher,urban
QC,15384.63,Male,Yes,very,college,urban
QC,6153.85,Female,No,not,higher,urban
QC,6153.85,Male,No,very,somePS,urban
QC,6153.85,Female,No,very,somePS,urban
QC,6153.85,Male,No,not,college,urban
QC,9230.78,Female,No,somewhat,HS,urban
QC,6153.85,Female,No,notvery,lessHS,urban
QC,9230.78,Female,No,somewhat,college,rural
QC,6153.85,Female,No,somewhat,college,urban
QC,9230.78,Male,No,notvery,somePS,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,3076.93,Female,No,somewhat,bachelors,urban
QC,3076.93,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,notvery,HS,urban
QC,3076.93,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,very,HS,urban
QC,6153.85,Male,No,notvery,bachelors,urban
QC,3076.93,Female,No,not,HS,urban
QC,3076.93,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,No,somewhat,lessHS,urban
QC,3076.93,Female,No,very,bachelors,urban
QC,3076.93,Female,Yes,very,lessHS,urban
QC,6153.85,Male,Yes,somewhat,somePS,urban
QC,9230.78,Female,No,somewhat,college,urban
QC,6153.85,Male,No,not,HS,urban
QC,3076.93,Female,No,somewhat,HS,urban
QC,9230.78,Male,Yes,very,college,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,6153.85,Male,No,somewhat,bachelors,urban
QC,9230.78,Female,No,very,HS,urban
QC,9230.78,Female,No,notvery,HS,urban
QC,3076.93,Male,No,notvery,somePS,urban
QC,6153.85,Male,No,notvery,somePS,urban
QC,3076.93,Male,No,not,college,urban
QC,3076.93,Female,No,somewhat,college,urban
QC,12307.71,Male,No,somewhat,college,urban
QC,6153.85,Male,No,not,college,urban
QC,3076.93,Male,No,notvery,college,urban
QC,6153.85,Female,No,notvery,HS,urban
QC,6153.85,Female,No,not,HS,urban
QC,9230.78,Female,No,very,higher,urban
QC,3076.93,Female,No,notvery,college,urban
QC,6153.85,Male,Yes,very,college,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Female,No,very,bachelors,urban
QC,3076.93,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,No,notvery,HS,urban
QC,9230.78,Male,No,not,college,urban
QC,6153.85,Female,No,not,HS,urban
QC,9230.78,Male,No,somewhat,bachelors,urban
QC,6153.85,Male,No,not,higher,urban
QC,3076.93,Female,No,notvery,lessHS,urban
QC,6153.85,Female,No,not,higher,urban
QC,3076.93,Female,No,very,lessHS,urban
QC,15384.63,Female,No,very,college,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,3076.93,Male,Yes,not,lessHS,urban
QC,3076.93,Female,No,somewhat,HS,urban
QC,6153.85,Female,No,very,HS,urban
QC,6153.85,Female,No,notvery,HS,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,3076.93,Female,No,not,college,urban
QC,3076.93,Female,Yes,notvery,bachelors,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,3076.93,Male,No,notvery,bachelors,urban
QC,6153.85,Female,No,somewhat,bachelors,urban
QC,9230.78,Female,No,notvery,HS,urban
QC,6153.85,Female,No,not,college,urban
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Male,No,somewhat,bachelors,urban
QC,9230.78,Female,Yes,very,lessHS,urban
QC,15384.63,Female,No,not,college,urban
QC,3076.93,Female,No,notvery,college,urban
QC,6153.85,Male,No,somewhat,higher,urban
QC,6153.85,Male,No,somewhat,HS,urban
QC,6153.85,Female,No,not,HS,urban
QC,3076.93,Female,No,not,bachelors,urban
QC,3076.93,Female,No,very,lessHS,urban
QC,3076.93,Male,No,not,college,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Male,Yes,very,somePS,urban
QC,3076.93,Female,No,notvery,bachelors,urban
QC,6153.85,Female,No,somewhat,somePS,urban
QC,3076.93,Male,No,very,bachelors,urban
QC,3076.93,Female,No,somewhat,college,urban
QC,6153.85,Female,No,very,lessHS,urban
QC,6153.85,Male,No,not,HS,urban
QC,9230.78,Male,Yes,very,higher,urban
QC,6153.85,Female,No,not,higher,urban
QC,6153.85,Male,No,not,higher,urban
QC,6153.85,Male,No,somewhat,somePS,rural
QC,3076.93,Female,No,somewhat,somePS,urban
QC,3076.93,Female,No,very,bachelors,urban
QC,3076.93,Male,No,somewhat,lessHS,rural
QC,6153.85,Female,No,somewhat,HS,rural
QC,9230.78,Female,No,not,somePS,urban
QC,9230.78,Male,Yes,notvery,bachelors,urban
QC,9230.78,Male,No,not,somePS,urban
QC,6153.85,Female,No,not,somePS,urban
QC,3076.93,Female,No,somewhat,higher,rural
QC,6153.85,Female,Yes,notvery,college,rural
QC,6153.85,Male,No,not,bachelors,rural
QC,6153.85,Male,Yes,notvery,lessHS,rural
QC,3076.93,Female,No,somewhat,lessHS,urban
QC,6153.85,Female,No,notvery,bachelors,urban
QC,6153.85,Male,No,not,college,urban
QC,6153.85,Female,Yes,somewhat,HS,rural
QC,6153.85,Female,No,somewhat,lessHS,urban
QC,6153.85,Female,No,somewhat,lessHS,urban
QC,6153.85,Male,No,notvery,somePS,urban
QC,6153.85,Female,No,notvery,college,rural
QC,3076.93,Female,Yes,somewhat,lessHS,rural
QC,9230.78,Female,No,somewhat,HS,rural
QC,9230.78,Male,No,not,college,urban
QC,3076.93,Female,Yes,notvery,lessHS,urban
QC,3076.93,Male,No,somewhat,bachelors,urban
QC,3076.93,Male,No,notvery,HS,urban
QC,12307.71,Female,No,not,somePS,urban
QC,3076.93,Male,Yes,very,lessHS,rural
QC,6153.85,Male,No,not,higher,rural
QC,3076.93,Male,No,notvery,college,urban
QC,6153.85,Male,No,not,college,urban
QC,3076.93,Female,No,somewhat,bachelors,urban
QC,6153.85,Female,Yes,notvery,somePS,rural
QC,6153.85,Female,Yes,notvery,lessHS,urban
QC,6153.85,Male,No,somewhat,lessHS,rural
QC,6153.85,Female,No,somewhat,college,rural
QC,6153.85,Female,No,notvery,college,urban
QC,6153.85,Male,No,notvery,college,urban
QC,6153.85,Male,Yes,somewhat,HS,rural
QC,6153.85,Female,No,not,bachelors,rural
QC,9230.78,Male,No,not,HS,urban
QC,18461.56,Male,No,notvery,college,urban
QC,6153.85,Female,No,notvery,college,rural
QC,6153.85,Male,Yes,very,college,urban
QC,6153.85,Male,No,somewhat,bachelors,urban
QC,6153.85,Male,No,somewhat,HS,rural
QC,6153.85,Male,No,not,higher,urban
QC,3076.93,Female,No,somewhat,bachelors,rural
QC,6153.85,Female,No,not,college,urban
QC,3076.93,Female,No,very,lessHS,rural
QC,6153.85,Female,No,somewhat,HS,rural
QC,3076.93,Female,No,not,college,urban
QC,6153.85,Male,No,not,college,urban
QC,6153.85,Male,No,somewhat,college,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,3076.93,Female,No,notvery,bachelors,urban
QC,6153.85,Male,No,somewhat,HS,urban
QC,6153.85,Male,No,somewhat,lessHS,rural
QC,3076.93,Female,No,somewhat,college,rural
QC,6153.85,Male,No,somewhat,college,urban
QC,3076.93,Male,No,somewhat,bachelors,urban
QC,12307.71,Female,No,not,bachelors,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,12307.71,Female,No,somewhat,HS,urban
QC,6153.85,Female,No,notvery,HS,rural
QC,12307.71,Male,No,somewhat,college,urban
QC,3076.93,Male,No,somewhat,lessHS,urban
QC,3076.93,Male,No,somewhat,lessHS,urban
QC,6153.85,Female,No,somewhat,HS,urban
QC,3076.93,Male,No,notvery,higher,urban
QC,6153.85,Male,No,somewhat,lessHS,urban
QC,6153.85,Female,No,not,HS,urban
QC,9230.78,Male,Yes,somewhat,college,rural
QC,3076.93,Female,No,somewhat,HS,rural
QC,6153.85,Female,No,notvery,HS,urban
QC,6153.85,Male,No,somewhat,lessHS,rural
QC,6153.85,Female,Yes,somewhat,lessHS,rural
QC,6153.85,Male,No,not,somePS,urban
QC,9230.78,Male,No,not,college,urban
QC,3076.93,Female,No,notvery,somePS,urban
QC,12307.71,Female,No,notvery,lessHS,urban
QC,3076.93,Female,No,notvery,college,urban
QC,3076.93,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,somewhat,lessHS,rural
QC,3076.93,Female,No,somewhat,HS,rural
QC,6153.85,Female,No,not,college,rural
QC,6153.85,Female,No,not,college,urban
QC,9230.78,Female,No,somewhat,HS,rural
QC,6153.85,Female,No,not,somePS,urban
QC,12307.71,Female,No,very,HS,urban
QC,3076.93,Female,No,somewhat,lessHS,urban
QC,6153.85,Male,No,somewhat,HS,urban
QC,3076.93,Male,No,very,lessHS,urban
QC,6153.85,Female,No,not,bachelors,urban
QC,6153.85,Female,No,somewhat,lessHS,urban
QC,9230.78,Male,No,somewhat,HS,urban
QC,3076.93,Male,No,not,college,urban
QC,3076.93,Female,No,somewhat,HS,rural
QC,6153.85,Female,No,very,college,rural
QC,6153.85,Female,No,somewhat,HS,urban
QC,6153.85,Male,No,notvery,HS,rural
