treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78
1,35,10,1,0,0,1,0,0,4666.23584
1,27,11,1,0,0,1,0,0,549.2984009
1,29,4,1,0,0,1,0,0,762.9146118
1,28,9,1,0,0,1,0,0,10694.29004
1,27,11,1,0,0,1,0,0,0
1,23,7,0,0,0,1,0,0,0
1,45,5,1,0,1,1,0,0,8546.714844
1,29,13,1,0,0,0,0,0,7479.655762
1,27,9,1,0,0,1,0,0,0
1,46,13,1,0,0,0,0,0,647.2045898
1,18,6,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,11965.80957
1,28,15,1,0,0,0,0,0,9598.541016
1,25,11,0,0,0,1,0,0,18783.34961
1,22,12,1,0,0,0,0,0,18678.08008
1,21,9,1,0,0,1,0,0,0
1,40,11,1,0,0,1,0,0,23005.59961
1,22,11,1,0,0,1,0,0,6456.696777
1,25,12,1,0,0,0,0,0,0
1,18,12,1,0,0,0,0,0,2321.106934
1,38,12,0,0,0,0,0,0,4941.849121
1,27,13,1,0,0,0,0,0,0
1,27,8,1,0,0,1,0,0,0
1,38,11,1,0,0,1,0,0,0
1,23,8,0,1,0,1,0,0,3881.283936
1,26,11,1,0,0,1,0,0,17230.96094
1,21,12,0,0,0,0,0,0,8048.603027
1,25,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,14509.92969
1,17,10,1,0,0,1,0,0,0
1,25,11,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,9983.78418
1,44,11,1,0,0,1,0,0,0
1,25,12,0,0,0,0,0,0,5587.50293
1,18,9,1,0,0,1,0,0,4482.845215
1,42,12,1,0,0,0,0,0,2456.153076
1,25,10,1,0,0,1,0,0,0
1,31,9,0,1,0,1,0,0,26817.59961
1,24,10,1,0,0,1,0,0,0
1,26,10,1,0,0,1,0,0,9265.788086
1,25,11,1,0,0,1,0,0,485.2297974
1,18,11,1,0,0,1,0,0,4814.626953
1,19,11,1,0,0,1,0,0,7458.10498
1,43,9,1,0,0,1,0,0,0
1,27,13,1,0,0,0,0,0,34099.28125
1,17,9,1,0,0,1,0,0,1953.267944
1,30,11,1,0,0,1,0,0,0
1,26,10,1,0,1,1,2027.999023,0,0
1,20,9,1,0,0,1,6083.994141,0,8881.665039
1,17,9,0,1,0,1,445.1704102,74.34345245,6210.669922
1,20,12,1,0,0,0,989.2678223,165.2077026,0
1,18,11,1,0,0,1,858.2542725,214.5635986,929.8839111
1,27,12,1,0,1,0,3670.87207,334.0492859,0
1,21,12,0,0,0,0,3670.87207,334.049408,12558.01953
1,27,12,1,0,0,0,2143.413086,357.9498901,22163.25
1,20,12,1,0,0,0,0,377.5686035,1652.636963
1,19,10,1,0,0,1,0,385.2741089,8124.714844
1,23,12,1,0,0,0,5506.308105,501.0740967,671.3317871
1,29,14,1,0,0,0,0,679.6734009,17814.98047
1,18,10,1,0,0,1,0,798.9078979,9737.154297
1,19,9,1,0,0,1,0,798.9078979,17685.17969
1,27,13,0,0,1,0,9381.566406,853.7224731,0
1,18,11,0,0,0,1,3678.230957,919.5579224,4321.705078
1,27,9,1,0,1,1,0,934.4453735,1773.422974
1,22,12,1,0,0,0,5605.852051,936.1773071,0
1,23,10,1,0,1,1,0,936.4385986,11233.25977
1,23,12,0,1,0,0,9385.740234,1117.438965,559.4431763
1,20,11,1,0,0,1,3637.498047,1220.83606,1085.439941
1,17,9,1,0,0,1,1716.509033,1253.438965,5445.200195
1,28,11,1,0,0,1,0,1284.078979,60307.92969
1,26,11,1,0,1,1,0,1392.853027,1460.359985
1,20,11,1,0,0,1,16318.62012,1484.994019,6943.341797
1,24,11,1,0,1,1,824.3886108,1666.113037,4032.708008
1,31,9,1,0,0,1,0,1698.607056,10363.26953
1,23,8,0,0,1,1,0,1713.150024,4232.309082
1,18,10,1,0,0,1,2143.410889,1784.274048,11141.38965
1,29,12,1,0,0,0,10881.94043,1817.284058,0
1,26,11,0,0,0,1,0,2226.266113,13385.86035
1,24,9,1,0,0,1,9154.700195,2288.675049,4849.559082
1,25,12,1,0,0,0,14426.79004,2409.273926,0
1,24,10,1,0,0,1,4250.401855,2421.947021,1660.508057
1,46,8,1,0,0,1,3165.657959,2594.7229,0
1,31,12,0,0,0,0,0,2611.218018,2484.549072
1,19,11,1,0,0,1,2305.025879,2615.275879,4146.603027
1,19,8,1,0,0,1,0,2657.056885,9970.680664
1,27,11,1,0,0,1,2206.939941,2666.273926,0
1,26,11,1,0,1,1,0,2754.645996,26372.2793
1,20,10,1,0,0,1,5005.730957,2777.35498,5615.188965
1,28,10,1,0,0,1,0,2836.506104,3196.571045
1,24,12,1,0,0,0,13765.75,2842.763916,6167.681152
1,19,8,1,0,0,1,2636.353027,2937.263916,7535.941895
1,23,12,1,0,0,0,6269.34082,3039.959961,8484.239258
1,42,9,1,0,1,1,0,3058.531006,1294.409058
1,25,13,1,0,0,0,12362.92969,3090.731934,0
1,18,9,1,0,0,1,0,3287.375,5010.341797
1,21,12,1,0,0,0,6473.683105,3332.408936,9371.037109
1,27,10,1,0,0,1,1001.145996,3550.074951,0
1,21,8,1,0,0,1,989.2678223,3695.896973,4279.612793
1,22,9,1,0,0,1,2192.876953,3836.986084,3462.563965
1,31,4,1,0,0,1,8517.588867,4023.210938,7382.548828
1,24,10,1,0,1,1,11703.2002,4078.1521,0
1,29,10,1,0,0,1,0,4398.950195,0
1,29,12,1,0,0,0,9748.386719,4878.937012,10976.50977
1,19,10,0,0,0,1,0,5324.108887,13829.62012
1,19,11,0,1,1,1,5424.484863,5463.803223,6788.462891
1,31,9,1,0,0,1,10717.03027,5517.84082,9558.500977
1,22,10,1,0,1,1,1468.348022,5588.664063,13228.28027
1,21,9,1,0,0,1,6416.470215,5749.331055,743.666626
1,17,10,1,0,0,1,1291.468018,5793.852051,5522.788086
1,26,12,1,0,1,0,8408.761719,5794.831055,1424.94397
1,20,9,0,1,0,1,12260.78027,5875.048828,1358.642944
1,19,10,1,0,0,1,4121.949219,6056.753906,0
1,26,10,1,0,0,1,25929.67969,6788.958008,672.8773193
1,28,11,1,0,0,1,1929.029053,6871.855957,0
1,22,12,0,1,1,0,492.2304993,7055.702148,10092.83008
1,33,11,1,0,0,1,0,7867.916016,6281.433105
1,22,12,0,0,0,0,6759.994141,8455.503906,12590.70996
1,29,10,0,1,0,1,0,8853.673828,5112.01416
1,33,12,1,0,1,0,20279.94922,10941.34961,15952.59961
1,25,14,1,0,1,0,35040.07031,11536.57031,36646.94922
1,35,9,1,0,1,1,13602.42969,13830.63965,12803.96973
1,35,8,1,0,1,1,13732.07031,17976.15039,3786.62793
1,33,11,1,0,1,1,14660.70996,25142.24023,4181.941895
0,23,10,1,0,0,1,0,0,0
0,26,12,0,0,0,0,0,0,12383.67969
0,22,9,1,0,0,1,0,0,0
0,18,9,1,0,0,1,0,0,10740.08008
0,45,11,1,0,0,1,0,0,11796.46973
0,18,9,1,0,0,1,0,0,9227.051758
0,24,8,0,0,0,1,0,0,10569.26953
0,34,11,1,0,1,1,0,0,6040.334961
0,24,4,0,1,0,1,0,0,3880.833008
0,36,10,1,0,0,1,0,0,0
0,21,14,1,0,0,0,0,0,5775.062012
0,28,9,1,0,0,1,0,0,0
0,27,7,1,0,1,1,0,0,0
0,19,11,0,0,0,1,0,0,0
0,20,8,1,0,0,1,0,0,0
0,34,12,1,0,0,0,0,0,2113.721924
0,24,10,1,0,0,1,0,0,7618.63916
0,22,8,0,1,0,1,0,0,9920.945313
0,25,11,1,0,0,1,0,0,4196.375
0,39,9,1,0,0,1,0,0,0
0,19,9,1,0,1,1,0,0,16658.25
0,44,9,1,0,0,1,0,0,9722.00293
0,27,8,1,0,0,1,0,0,3783.659912
0,25,8,1,0,0,1,0,0,3515.928955
0,31,10,1,0,0,1,0,0,17014.58984
0,34,10,1,0,1,1,0,0,0
0,21,7,0,1,0,1,0,0,0
0,33,12,1,0,0,0,0,0,5970.256836
0,18,10,0,1,0,1,0,0,1859.166992
0,26,12,1,0,1,0,0,0,6191.942871
0,31,12,1,0,0,0,0,0,7284.394043
0,35,10,1,0,0,1,0,0,445.8309021
0,20,12,1,0,0,0,0,0,0
0,25,11,1,0,0,1,0,0,0
0,25,10,1,0,0,1,0,0,7367.040039
0,35,11,1,0,0,1,0,0,0
0,20,10,1,0,0,1,0,0,2015.503052
0,25,9,0,1,0,1,0,0,15791.12988
0,27,10,1,0,0,1,0,0,1135.469971
0,20,11,0,1,0,1,0,0,6378.720215
0,26,11,1,0,0,1,0,0,7176.187012
0,38,8,1,0,0,1,0,0,0
0,34,10,1,0,0,1,0,0,7952.540039
0,19,12,1,0,0,0,0,0,0
0,32,8,1,0,0,1,0,0,7152.131836
0,20,9,0,1,0,1,0,0,8329.823242
0,23,10,1,0,0,1,0,0,0
0,38,10,1,0,0,1,0,0,12429.91016
0,24,11,1,0,0,1,0,0,0
0,23,11,1,0,0,1,0,0,5088.759766
0,20,7,0,1,0,1,0,0,4374.040039
0,21,11,1,0,0,1,0,0,1553.291016
0,25,10,1,0,0,1,0,0,0
0,22,11,1,0,1,1,0,0,1698.303955
0,23,11,1,0,0,1,0,0,0
0,24,12,0,0,0,0,0,0,11294.62988
0,29,11,1,0,0,1,0,0,0
0,24,11,1,0,0,1,0,0,14626.38965
0,22,9,1,0,0,1,0,0,12898.37988
0,28,11,1,0,0,1,0,0,5767.132813
0,18,10,0,1,0,1,0,0,6527.918945
0,26,10,1,0,0,1,0,0,3931.238037
0,25,10,1,0,0,1,0,0,20942.24023
0,24,10,1,0,0,1,0,0,0
0,26,5,1,0,0,1,0,0,0
0,36,10,1,0,0,1,0,0,14690.34961
0,22,11,1,0,0,1,0,0,0
0,25,12,1,0,0,0,0,0,3418.096924
0,27,11,1,0,0,1,0,0,11197.33984
0,29,8,1,0,0,1,0,0,0
0,24,12,1,0,0,0,0,0,0
0,22,10,1,0,0,1,0,0,0
0,24,7,1,0,0,1,0,0,1455.689941
0,29,12,1,0,0,0,0,0,1890.937012
0,25,11,0,1,1,1,0,0,4485.616211
0,30,12,1,0,0,0,0,0,13613.34961
0,22,8,1,0,0,1,0,0,1390.509033
0,55,3,1,0,0,1,0,0,5843.795898
0,20,10,1,0,0,1,0,0,8598.522461
0,34,11,1,0,0,1,0,0,2920.198975
0,22,12,1,0,0,0,0,0,0
0,32,12,0,1,1,0,0,0,6735.319824
0,31,10,1,0,0,1,0,0,0
0,18,9,1,0,0,1,0,0,0
0,50,10,0,1,0,1,0,0,0
0,25,11,1,0,1,1,0,0,44.75545883
0,23,10,1,0,1,1,0,0,0
0,38,10,1,0,0,1,0,0,0
0,25,10,1,0,1,1,0,0,3701.812012
0,42,10,1,0,0,1,0,0,6930.335938
0,39,12,1,0,1,0,0,0,3795.799072
0,34,13,1,0,1,0,0,0,5193.24707
0,24,7,1,0,0,1,0,0,2193.528076
0,32,11,1,0,0,1,0,0,11120.53027
0,27,13,1,0,0,0,0,0,7609.518066
0,26,10,1,0,0,1,0,0,2169.0271
0,44,11,1,0,0,1,0,0,0
0,25,11,1,0,0,1,0,0,1264.232056
0,25,12,1,0,0,0,0,0,0
0,28,12,1,0,1,0,0,0,0
0,32,10,1,0,0,1,0,0,0
0,22,10,1,0,0,1,0,0,0
0,19,9,1,0,0,1,0,0,5712.643066
0,31,10,1,0,1,1,0,0,0
0,23,11,1,0,0,1,0,0,0
0,33,11,1,0,0,1,0,0,0
0,27,10,1,0,0,1,0,0,1184.881958
0,29,11,1,0,1,1,0,0,10225.87988
0,23,10,1,0,0,1,0,0,0
0,25,9,1,0,1,1,0,0,4715.371094
0,25,10,1,0,0,1,0,0,289.7898865
0,24,10,1,0,0,1,0,0,0
0,28,8,0,0,0,1,0,0,8190.420898
0,26,6,1,0,0,1,0,0,4813.049805
0,30,14,1,0,1,0,0,0,7344.678223
0,25,10,1,0,1,1,0,0,0
0,29,11,1,0,1,1,0,0,0
0,25,12,1,0,1,0,0,0,0
0,28,13,1,0,0,0,0,0,0
0,23,11,1,0,0,1,0,0,4350.907227
0,54,11,1,0,0,1,0,0,7812.521973
0,33,5,0,1,0,1,0,0,0
0,20,8,1,0,0,1,0,0,3644.655029
0,45,9,1,0,0,1,0,0,4844.803223
0,39,6,1,0,0,1,0,0,0
0,26,12,1,0,0,0,0,0,0
0,23,10,1,0,0,1,0,0,0
0,27,12,0,0,0,0,0,0,14792.90039
0,33,9,0,1,1,1,0,0,0
0,25,10,1,0,1,1,0,0,0
0,23,8,1,0,0,1,0,0,3746.700928
0,18,8,1,0,0,1,0,0,1568.150024
0,17,8,1,0,0,1,0,0,7010.443848
0,19,9,0,1,0,1,0,0,3811.683105
0,18,8,0,1,0,1,0,0,10798.55957
0,18,11,1,0,0,1,0,0,4657.272949
0,17,11,1,0,0,1,0,0,8551.533203
0,19,10,1,0,0,1,0,0,4309.87793
0,19,10,1,0,0,1,0,0,5286.395996
0,18,9,1,0,0,1,0,0,12486.16992
0,18,9,1,0,0,1,0,0,10877.34961
0,18,10,1,0,0,1,0,0,202.2846985
0,17,10,1,0,0,1,0,0,2657.705078
0,18,7,1,0,0,1,0,0,4132.577148
0,18,11,1,0,0,1,0,0,11303.13965
0,19,10,0,1,0,1,0,0,0
0,18,9,1,0,0,1,0,0,0
0,17,10,1,0,0,1,0,0,0
0,17,10,1,0,0,1,0,0,2189.426025
0,19,11,1,0,0,1,0,0,0
0,17,8,0,0,0,1,0,0,10210.99023
0,18,10,1,0,0,1,0,0,11048.08008
0,18,9,1,0,0,1,0,0,0
0,17,8,1,0,0,1,0,0,8993.865234
0,19,6,0,1,0,1,0,0,5071.800781
0,19,10,0,0,0,1,0,0,3194.01001
0,17,11,0,0,0,1,0,0,0
0,20,9,1,0,0,1,0,0,5193.088867
0,17,9,1,0,0,1,0,0,0
0,17,10,1,0,0,1,0,0,275.5661011
0,17,9,1,0,0,1,0,0,3590.701904
0,19,11,1,0,0,1,0,0,0
0,19,10,1,0,1,1,0,0,12797.66992
0,20,9,1,0,0,1,0,0,2035.91394
0,18,9,1,0,0,1,0,0,2389.678955
0,18,11,1,0,0,1,0,0,0
0,17,10,0,1,0,1,0,0,8469.275391
0,19,11,1,0,0,1,0,0,0
0,17,10,1,0,0,1,0,0,1143.386963
0,17,9,0,1,0,1,0,0,5114.813965
0,18,10,1,0,0,1,0,0,781.2243042
0,21,9,1,0,0,1,591.4990845,0,3343.224121
0,18,10,1,0,0,1,1563.249023,0,9602.439453
0,19,11,1,0,0,1,1626.623047,0,0
0,24,9,1,0,0,1,2788.498047,0,16461.57031
0,28,11,0,1,1,1,3472.947998,0,6771.62207
0,25,11,1,0,0,1,5281.245117,0,0
0,21,7,1,0,0,1,33799.94922,0,11011.57031
0,39,11,1,0,0,1,0,83.68963623,0
0,36,12,1,0,0,0,0,142.3972931,0
0,24,12,1,0,0,0,0,159.8847046,0
0,17,11,1,0,0,1,989.2678223,165.2077026,4251.126953
0,18,10,1,0,0,1,960.4268188,240.1067047,2891.667969
0,18,10,1,0,0,1,0,273.5524902,5514.365234
0,28,10,1,0,0,1,1471.292969,367.8233948,4858.89502
0,27,13,0,0,0,0,5214.306152,474.5018005,4812.576172
0,31,12,0,0,0,0,0,494.6430054,0
0,22,9,1,0,0,1,0,506.4075928,604.1987305
0,31,10,1,0,0,1,0,520.4462891,14527.87988
0,26,10,1,0,1,1,6140.367188,558.7733765,0
0,18,9,0,0,0,1,0,559.5960083,7300.498047
0,23,11,1,0,0,1,6382.309082,580.7901001,0
0,20,12,1,0,0,0,0,591.8151245,4159.918945
0,19,10,1,0,0,1,0,604.1538696,0
0,18,11,1,0,0,1,1064.698975,645.2722778,5497.59082
0,17,10,1,0,0,1,0,664.5689697,0
0,27,12,1,0,1,0,0,752.3900757,0
0,27,11,1,0,0,1,3065.194092,766.298584,0
0,28,12,0,0,0,0,0,803.3430176,16477.01953
0,28,11,1,0,0,1,2431.948975,863.4794922,0
0,21,10,1,0,0,1,6661.062988,1162.362061,39483.53125
0,17,10,0,1,0,1,4905.119141,1168.901978,11306.26953
0,26,11,1,0,0,1,4699.962891,1174.990967,6672.020996
0,29,9,1,0,0,1,0,1203.823975,9378.65332
0,17,10,0,1,0,1,1203.609009,1239.628052,5088.98584
0,22,11,1,0,0,1,7914.130859,1321.660034,2639.290039
0,24,11,1,0,0,1,0,1327.993042,9495.902344
0,20,12,1,0,0,0,557.6987915,1371.473022,20893.10938
0,18,12,1,0,0,0,0,1405.511963,0
0,24,11,0,0,0,1,2669.725098,1468.383057,10361.69043
0,21,9,0,0,0,1,2988.412109,1577.166992,1740.198975
0,30,8,1,0,0,1,0,1706.656982,0
0,31,11,1,0,0,1,17711.88086,1726.444946,0
0,17,10,0,1,0,1,1442.68103,1734.55896,6354.193848
0,19,9,1,0,0,1,8409.626953,1778.088989,7171
0,23,11,1,0,0,1,0,1896.022949,5573.546875
0,22,12,1,0,0,0,4380.01709,2003.680054,439.6881104
0,29,12,1,0,0,0,22859.43945,2080.208984,16969.94922
0,22,10,1,0,0,1,0,2174.955078,5344.020996
0,29,13,1,0,0,0,718.2492065,2265.579102,2725.322021
0,19,11,1,0,0,1,721.3405762,2445.589111,9772.283203
0,17,9,1,0,0,1,0,2595.26709,0
0,18,10,1,0,0,1,1716.509033,2682.125,0
0,19,12,1,0,0,0,8417,2814.195068,1720.906982
0,20,6,1,0,0,1,6006.878906,2850.610107,0
0,33,11,1,0,0,1,10523.83008,2899.820068,18859.89063
0,36,11,0,1,0,1,5443.733887,3063.87793,1324.541992
0,25,11,1,0,0,1,15209.99023,3072.726074,284.6583862
0,19,11,1,0,0,1,3504.013916,3285.679932,11195.92969
0,23,8,1,0,0,1,7724.283203,3403.055908,0
0,17,11,1,0,0,1,4080.72998,3796.029053,0
0,43,10,1,0,0,1,2502.86792,4128.442871,7565.272949
0,26,11,1,0,1,1,0,4184.731934,0
0,27,11,1,0,1,1,0,4491.883789,0
0,19,11,1,0,0,1,6337.492188,4503.063965,0
0,28,11,1,0,1,1,8593.163086,5393.89502,4974.585938
0,28,12,1,0,1,0,10585.12988,5551.456055,12780.01953
0,26,8,1,0,0,1,1126.290039,5562.598145,3523.577881
0,31,12,1,0,0,0,0,5613.90918,0
0,23,11,1,0,0,1,7617.361816,5716.407227,10274.83984
0,20,12,1,0,0,0,7182.492188,6004.728027,4779.720215
0,28,10,1,0,1,1,8293.344727,6449.47998,16988.17969
0,39,12,1,0,1,0,19785.32031,6608.137207,499.2572021
0,21,8,1,0,0,1,39570.67969,6608.304199,3083.581055
0,22,11,1,0,0,1,8810.067383,6974.483887,3708.718994
0,20,11,1,0,0,1,8009.164063,7666.875,7659.217773
0,21,11,0,1,0,1,2992.533936,8920.470703,20857.83984
0,23,12,0,1,0,0,5721.695801,8960.683594,7078.178223
0,29,9,1,0,0,1,9268.943359,9160.693359,0
0,28,9,1,0,1,1,10222.41016,9210.447266,1239.843994
0,30,11,1,0,1,1,0,9311.938477,3982.801025
0,25,10,1,0,1,1,13519.96973,9319.444336,0
0,28,11,1,0,1,1,824.388916,10033.91016,0
0,22,10,0,0,0,1,27864.35938,10598.66992,7094.919922
0,44,9,1,0,1,1,12260.78027,10857.24023,12359.30957
0,21,9,1,0,0,1,31886.42969,12357.21973,0
0,28,11,1,0,0,1,17491.44922,13371.25,0
0,29,9,0,1,0,1,9594.307617,16341.16016,16900.30078
0,25,9,1,0,1,1,24731.61914,16946.63086,7343.963867
0,22,10,0,0,1,1,25720.91992,23031.98047,5448.800781
